tag, type
a, DEFAULT
abbr, DEFAULT
address, DEFAULT
area, SELFCLOSING
article, DEFAULT
aside, DEFAULT
audio, DEFAULT
b, DEFAULT
base, SELFCLOSING
bdi, DEFAULT
bdo, DEFAULT
blockquote, DEFAULT
body, DEFAULT
br, SELFCLOSING
button, DEFAULT
canvas, DEFAULT
caption, DEFAULT
cite, DEFAULT
code, DEFAULT
col, SELFCLOSING
colgroup, DEFAULT
data, DEFAULT
datalist, DEFAULT
dd, DEFAULT
del, DEFAULT
details, DEFAULT
dfn, DEFAULT
dialog, DEFAULT
div, DEFAULT
dl, DEFAULT
dt, DEFAULT
em, DEFAULT
embed, SELFCLOSING
fieldset, DEFAULT
figcaption, DEFAULT
figure, DEFAULT
footer, DEFAULT
form, DEFAULT
h1, DEFAULT
h2, DEFAULT
h3, DEFAULT
h4, DEFAULT
h5, DEFAULT
h6, DEFAULT
head, DEFAULT
header, DEFAULT
hr, SELFCLOSING
html, DEFAULT
i, DEFAULT
iframe, DEFAULT
img, SELFCLOSING
input, SELFCLOSING
ins, DEFAULT
kbd, DEFAULT
label, DEFAULT
legend, DEFAULT
li, DEFAULT
link, SELFCLOSING
map, DEFAULT
mark, DEFAULT
meta, SELFCLOSING
meter, DEFAULT
nav, DEFAULT
noscript, DEFAULT
object, DEFAULT
ol, DEFAULT
optgroup, DEFAULT
option, DEFAULT
output, DEFAULT
p, DEFAULT
param, SELFCLOSING
picture, DEFAULT
pre, DEFAULT
progress, DEFAULT
q, DEFAULT
rb, DEFAULT
rp, DEFAULT
rt, DEFAULT
rtc, DEFAULT
ruby, DEFAULT
s, DEFAULT
samp, DEFAULT
script, DEFAULT
section, DEFAULT
select, DEFAULT
small, DEFAULT
source, SELFCLOSING
span, DEFAULT
strong, DEFAULT
sub, DEFAULT
summary, DEFAULT
sup, DEFAULT
table, DEFAULT
tbody, DEFAULT
td, DEFAULT
template, DEFAULT
textarea, DEFAULT
tfoot, DEFAULT
th, DEFAULT
thead, DEFAULT
time, DEFAULT
title, DEFAULT
tr, DEFAULT
track, SELFCLOSING
u, DEFAULT
ul, DEFAULT
var, DEFAULT
video, DEFAULT
wbr, SELFCLOSING
